site_uid,datetime,nitrate_con,r_exc,m_exc,temp_water,ph,spec_cond,diss_oxy_con,diss_oxy_sat,chloro_v,chloro_con,turbi_mean,turbi_var,turbi_med,turbi_bes,turbi_min,turbi_max,dts_temp_water,phosphate_con,ph_v2,spec_cond_v2,diss_oxy_con_v2,diss_oxy_sat_v2,turbi_mean_v2
ARS0001,2020-08-14 12:15:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 12:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 12:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 13:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 13:15:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 13:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 13:45:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 14:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 14:15:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 14:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 14:45:00-05,,0.07,0.08,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 15:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 15:15:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 15:30:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 15:45:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 16:00:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 16:15:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 16:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 16:45:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 17:00:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 17:15:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 17:30:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 17:45:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 18:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 18:15:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 18:30:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 18:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 19:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 19:15:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 19:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 19:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 20:00:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 20:15:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 20:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 20:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 21:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 21:15:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 21:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-14 21:45:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
