GEOID,ALAND,AWATER,farm_acre_as_percent,crop_acre_as_percent,area_land_km2,area_water_km2,farm_area_km2,crop_area_km2
56013,23784954724,213202754,19.8,2.14,23784.954724,213.202754,4709.421035352,508.9980310936
18115,223126822,3352208,43.6,20.09,223.126822,3.352208,97.283294392,44.826178539800004
13073,751323672,45373097,12.3,1.82,751.323672,45.373097,92.41281165600002,13.6740908304
08115,1419419128,3530746,99.4,65.02,1419.419128,3.530746,1410.9026132320002,922.9063170256
30065,4840577752,7118682,92.2,12.13,4840.577752,7.118682,4463.012687344,587.1620813176
42043,1359893289,85780786,24.2,18.85,1359.893289,85.780786,329.09417593800003,256.33988497650006
46101,1345200317,3679400,79.7,67.24,1345.200317,3.6794,1072.1246526490002,904.5126931507999
54079,895302287,12226982,23.4,6.21,895.302287,12.226982,209.500735158,55.5982720227
34037,1343552956,43234734,18.0,7.73,1343.552956,43.234734,241.83953208,103.8566434988
20039,2314199314,1631670,73.4,44.47,2314.199314,1.63167,1698.622296476,1029.1244349357999
18123,988669306,11816977,31.5,17.26,988.669306,11.816977,311.43083139,170.6443222156
28145,1076399403,3387488,42.1,17.05,1076.399403,3.387488,453.16414866299993,183.5260982115
31015,1398425584,11890320,93.5,39.23,1398.425584,11.89032,1307.5279210400001,548.6023566032
27095,1482348668,282998978,34.4,23.73,1482.348668,282.998978,509.92794179199996,351.76133891640006
38099,3319505703,32184979,98.1,87.81,3319.505703,32.184979,3256.4350946429995,2914.8579578042995
39115,1078539439,13873466,37.2,15.13,1078.539439,13.873466,401.216671308,163.1830171207
39133,1262374971,43121843,27.5,19.06,1262.374971,43.121843,347.153117025,240.60866947259998
56041,5391911952,16345637,49.3,6.36,5391.911952,16.345637,2658.212592336,342.92560014720004
32013,24969533279,44196979,16.0,2.56,24969.533279,44.196979,3995.1253246399997,639.2200519424
48247,2942674729,92565,95.2,1.43,2942.674729,0.092565,2801.4263420079997,42.0802486247
08017,4605714032,8166134,94.5,52.64,4605.714032,8.166134,4352.3997602399995,2424.4478664447997
41005,4845049025,31834351,13.1,6.99,4845.049025,31.834351,634.701422275,338.6689268475
05113,2221382755,12372286,25.5,6.85,2221.382755,12.372286,566.4526025250001,152.1647187175
13193,1037653519,13860062,43.4,23.21,1037.653519,13.860062,450.341627246,240.8393817599
18007,1052616452,236033,96.5,94.71,1052.616452,0.236033,1015.77487618,996.9330416891999
47129,1352439646,823018,17.8,5.05,1352.439646,0.823018,240.73425698800003,68.298202123
46043,1118358767,4832944,99.4,77.7,1118.358767,4.832944,1111.648614398,868.964761959
24047,1212832597,586845178,33.1,23.88,1212.832597,586.845178,401.44758960700005,289.6244241636
17185,578224627,11012015,80.8,73.89,578.224627,11.012015,467.20549861600006,427.25017689030005
18069,991057049,13133342,80.5,74.08,991.057049,13.133342,797.800924445,734.1750618991999
21209,729781719,9487693,72.4,31.11,729.781719,9.487693,528.361964556,227.0350927809
19053,1377567314,4140764,69.4,41.9,1377.567314,4.140764,956.0317159159999,577.2007045659999
18169,1068205084,22117118,80.0,72.09,1068.205084,22.117118,854.5640672,770.0690450556
18003,1702454342,6999605,66.9,59.31,1702.454342,6.999605,1138.941954798,1009.7256702402
18099,1148996723,15831838,70.1,62.43,1148.996723,15.831838,805.4467028229999,717.3186541688999
31171,1846403658,2028358,85.1,1.62,1846.403658,2.028358,1571.289512958,29.911739259599997
38085,2833690974,88449900,84.0,32.28,2833.690974,88.4499,2380.30041816,914.7154464072
48127,3441795365,14576538,56.9,7.99,3441.795365,14.576538,1958.381562685,274.9994496635
