"Gravelly"|"165027112"|"48887070"
"Gravelly"|"165027120"|"48887102"
"Extremely gravelly"|"165027121"|"48887103"
"Gravelly"|"165027125"|"48887104"
"Gravelly"|"165027128"|"48887105"
"Gravelly"|"165027134"|"48887106"
"Very gravelly"|"165027135"|"48887107"
"Gravelly"|"165027137"|"48886489"
"Gravelly"|"165027138"|"48886490"
"Very gravelly"|"165027139"|"48886491"
"Very gravelly"|"165027141"|"48886492"
"Gravelly"|"165027142"|"48886493"
"Very gravelly"|"165027143"|"48886494"
"Very gravelly"|"165027144"|"48886495"
"Extremely gravelly"|"165027145"|"48886496"
"Extremely gravelly"|"165027146"|"48886516"
"Gravelly"|"165027147"|"48886517"
"Very gravelly"|"165027148"|"48886518"
"Extremely gravelly"|"165027149"|"48886513"
"Very gravelly"|"165027150"|"48886514"
"Gravelly"|"165027151"|"48886515"
"Extremely gravelly"|"165027152"|"48886519"
"Gravelly"|"165027153"|"48886520"
"Extremely gravelly"|"165027154"|"48886521"
"Extremely gravelly"|"165027186"|"48886522"
"Very gravelly"|"165027187"|"48886523"
"Gravelly"|"165027188"|"48886524"
"Extremely gravelly"|"165027189"|"48886525"
"Gravelly"|"165027190"|"48886526"
"Very gravelly"|"165027191"|"48886527"
"Extremely gravelly"|"165027192"|"48886528"
"Gravelly"|"165027193"|"48886529"
"Extremely gravelly"|"165027194"|"48886530"
"Very gravelly"|"165027195"|"48886503"
"Extremely gravelly"|"165027196"|"48886504"
"Gravelly"|"165027197"|"48886501"
"Very gravelly"|"165027198"|"48886502"
"Very gravelly"|"165027200"|"48886500"
"Gravelly"|"165027201"|"48886498"
"Very gravelly"|"165027202"|"48886499"
"Gravelly"|"165027203"|"48886497"
"Gravelly"|"165027230"|"48887073"
"Gravelly"|"165027231"|"48887074"
"Gravelly"|"165027232"|"48887075"
"Gravelly"|"165027233"|"48887076"
"Gravelly"|"165027234"|"48886391"
"Gravelly"|"165027235"|"48886392"
"Gravelly"|"165027236"|"48886393"
"Gravelly"|"165027240"|"48886397"
"Gravelly"|"165027242"|"48886398"
"Very gravelly"|"165027245"|"48886403"
"Very gravelly"|"165027246"|"48886404"
"Gravelly"|"165027247"|"48886402"
"Very gravelly"|"165027251"|"48886994"
"Extremely gravelly"|"165027252"|"48886995"
"Very gravelly"|"165027253"|"48886992"
"Extremely gravelly"|"165027254"|"48886993"
"Very gravelly"|"165027257"|"48886632"
"Very gravelly"|"165027258"|"48886635"
"Very gravelly"|"165027259"|"48886636"
"Very gravelly"|"165027260"|"48886633"
"Very gravelly"|"165027261"|"48886634"
"Gravelly"|"165027263"|"48887016"
"Gravelly"|"165027266"|"48886623"
"Gravelly"|"165027267"|"48886622"
"Gravelly"|"165027269"|"48886394"
"Gravelly"|"165027270"|"48886395"
"Gravelly"|"165027271"|"48886396"
"Gravelly"|"165027276"|"48886399"
"Gravelly"|"165027278"|"48886400"
"Very gravelly"|"165027280"|"48886406"
"Very gravelly"|"165027281"|"48886407"
"Gravelly"|"165027282"|"48886405"
"Very gravelly"|"165027285"|"48886998"
"Extremely gravelly"|"165027286"|"48886999"
"Very gravelly"|"165027287"|"48886996"
"Extremely gravelly"|"165027288"|"48886997"
"Very gravelly"|"165027292"|"48886637"
"Very gravelly"|"165027293"|"48886640"
"Very gravelly"|"165027294"|"48886641"
"Very gravelly"|"165027295"|"48886638"
"Very gravelly"|"165027296"|"48886639"
